,POSTCODE,TOTAL_FLOOR_AREA,LONG,LAT,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,PROPERTY_TYPE,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,PRICE
82,EC4V 5EA,33.03,-0.101627,51.513290999999995,1st,N,3.0,Flat,3.0,3.0,1045000
83,EC2Y 9AZ,80.0,-0.090181,51.519913,15th,N,,Flat,3.0,3.0,765000
84,EC4M 9BR,59.5,-0.093972,51.513014,5th,Y,6.0,Flat,3.0,3.0,30000
85,EC2Y 8BE,70.6,-0.091416,51.518989000000005,1st,Y,3.0,Maisonette,2.0,2.0,937960
86,EC4A 3BA,52.0,-0.107695,51.515368,2nd,N,,Flat,2.0,2.0,990000
87,E1 8AB,55.0,-0.073724,51.51298,2nd,N,,Flat,2.0,2.0,30000000
88,EC2Y 8NJ,106.3,-0.094952,51.520251,18th,N,48.0,Flat,5.0,5.0,1740000
89,EC2Y 8AT,70.13,-0.091278,51.519535,1st,N,,Flat,3.0,3.0,965000
90,EC4A 1DT,44.0,-0.111296,51.516135999999996,mid floor,,,Flat,,,865000
91,EC2Y 8BJ,193.0,-0.093402,51.518364,NODATA!,,,House,8.0,8.0,2100000
92,LU7 3AF,67.5,-0.654746,51.92703,NO DATA!,,,House,,,331500
93,EC2Y 9BA,39.0,-0.090181,51.519913,21st or above,N,,Flat,1.0,1.0,1280000
94,EC1A 7LS,42.0,-0.100163,51.519115,top floor,,,Maisonette,,,565000
95,EC4R 0DR,76.0,-0.087556,51.510661999999996,1st,N,,Flat,4.0,4.0,800000
96,EC4A 3EA,28.72,-0.108378,51.514902,2nd,N,4.0,Flat,2.0,2.0,715000
